datetime,open,high,low,close,vol
2015-01-05 12:05:49.000000,75030,75240,74940,75240,1330
2015-01-05 12:09:32.000000,75240,75270,74970,74970,2848
2015-01-05 12:16:51.000000,74970,75040,74740,74740,959
2015-01-05 12:21:56.000000,74740,74860,74560,74860,4632
2015-01-05 12:34:27.000000,74860,75160,74860,75160,1127
2015-01-05 12:35:59.000000,75160,75370,75070,75370,1808
2015-01-05 12:37:32.000000,75370,75650,75350,75650,914
2015-01-05 12:37:34.000000,75650,75830,75530,75530,2848
2015-01-05 12:39:39.000000,75530,75810,75510,75810,872
2015-01-05 12:40:21.000000,75810,75920,75620,75620,2049
2015-01-05 12:44:19.000000,75620,75740,75440,75740,2114
2015-01-05 12:49:46.000000,75740,75900,75600,75600,946
2015-01-05 12:51:13.000000,75600,75790,75490,75790,3502
2015-01-05 12:58:18.000000,75790,75890,75590,75590,4027
2015-01-05 13:11:19.000000,75590,75810,75510,75810,3313
2015-01-05 13:24:53.000000,75810,75870,75570,75570,4431
2015-01-05 13:44:52.000000,75570,75680,75380,75380,3465
2015-01-05 13:53:43.000000,75380,75380,75080,75080,3037
2015-01-05 13:55:52.000000,75080,75190,74890,75190,3734
2015-01-05 14:04:11.000000,75190,75250,74950,75250,5445
2015-01-05 14:16:27.000000,75250,75320,75020,75020,1697
2015-01-05 14:23:04.000000,75020,75260,74960,75260,3452
2015-01-05 14:39:12.000000,75260,75530,75230,75530,985
2015-01-05 14:40:08.000000,75530,75610,75310,75310,2262
2015-01-05 14:43:04.000000,75310,75570,75270,75570,1327
2015-01-05 14:47:03.000000,75570,75680,75380,75680,3715
2015-01-05 14:50:46.000000,75680,75680,75380,75380,3072
2015-01-05 15:04:39.000000,75380,75400,75100,75100,2515
2015-01-05 15:14:34.000000,75100,75160,74860,74860,1438
2015-01-05 15:17:49.000000,74860,74930,74630,74630,4235
2015-01-05 15:27:50.000000,74630,74700,74400,74400,4738
2015-01-05 15:34:22.000000,74400,74600,74300,74600,1755
2015-01-05 15:37:09.000000,74600,74650,74350,74350,3277
2015-01-05 15:42:52.000000,74350,74500,74200,74200,2291
2015-01-05 15:48:40.000000,74200,74380,74080,74380,2022
2015-01-05 15:50:52.000000,74380,74540,74240,74540,3346
2015-01-05 16:00:50.000000,74540,74780,74480,74780,1679
2015-01-05 16:05:11.000000,74780,74910,74610,74910,2382
2015-01-05 16:07:08.000000,74910,75100,74800,74800,4383
2015-01-05 16:15:01.000000,74800,74880,74580,74580,1400
2015-01-05 16:17:16.000000,74580,74710,74410,74710,6843
2015-01-05 16:36:18.000000,74710,74710,74410,74410,1104
2015-01-05 16:39:47.000000,74410,74560,74260,74260,1091
2015-01-05 16:43:36.000000,74260,74310,74010,74010,1788
2015-01-05 16:49:07.000000,74010,74300,74000,74300,1067
2015-01-05 16:52:46.000000,74300,74310,74010,74010,4415
2015-01-05 17:13:39.000000,74010,74040,73740,73740,3644
2015-01-05 17:16:37.000000,73740,74000,73700,74000,2647
2015-01-05 17:21:16.000000,74000,74170,73870,73870,3085
